"authors","title","journal","issue","volume","pages","article_no","doi","doctype","year","date","database","ExportDate"
"Wu, D., Sato, K., Ma, J.F.","Genome-wide association mapping of cadmium accumulation in different organs of  barley.","The New phytologist","3","208","817-29","10.1111/nph.13512 [doi]","10.1111/nph.13512","Journal Article","2015","Nov","PubMed",2024-01-29
"Tani, A., Sahin, N., Fujitani, Y., Kato, A., Sato, K., Kimbara, K.","Methylobacterium Species Promoting Rice and Barley Growth and Interaction  Specificity Revealed with Whole-Cell Matrix-Assisted Laser  Desorption/Ionization-Time-of-Flight Mass Spectrometry (MALDI-TOF/MS) Analysis.","PloS one","6","10","e0129509","10.1371/journal.pone.0129509 [doi]","10.1371/journal.pone.0129509","Journal Article","2015","","PubMed",2024-01-29
"Lu, Y., Sasaki, Y., Li, X., Mori, I.C., Matsuura, T., Hirayama, T., Sato, T., Yamaguchi, J.","ABI1 regulates carbon/nitrogen-nutrient signal transduction independent of ABA  biosynthesis and canonical ABA signalling pathways in Arabidopsis.","Journal of experimental botany","15","66","4851","10.1093/jxb/erv264 [doi]","10.1093/jxb/erv264","Published Erratum","2015","Aug","PubMed",2024-01-29
"Suzuki, N., Sasaya, T., Choi, I.","Editorial: Viruses threatening stable production of cereal crops.","Frontiers in microbiology",NA,"6","470","10.3389/fmicb.2015.00470 [doi]","10.3389/fmicb.2015.00470","Journal Article","2015","","PubMed",2024-01-29
"Kondo, H., Takemoto, S., Maruyama, K., Chiba, S., Andika, I.B., Suzuki, N.","Cymbidium chlorotic mosaic virus, a new sobemovirus isolated from a spring orchid  (Cymbidium goeringii) in Japan.","Archives of virology","8","160","2099-104","10.1007/s00705-015-2460-9 [doi]","10.1007/s00705-015-2460-9","Journal Article","2015","Aug","PubMed",2024-01-29
"Ma, J.F., Yamaji, N.","A cooperative system of silicon transport in plants.","Trends in plant science","7","20","435-42","S1360-1385(15)00091-6 [pii]","10.1016/j.tplants.2015.04.007","Journal Article","2015","Jul","PubMed",2024-01-29
"Miyazaki, N., Salaipeth, L., Kanematsu, S., Iwasaki, K., Suzuki, N.","Megabirnavirus structure reveals a putative 120-subunit capsid formed by  asymmetrical dimers with distinctive large protrusions.","The Journal of general virology","8","96","2435-2441","10.1099/vir.0.000182 [doi]","10.1099/vir.0.000182","Journal Article","2015","Aug","PubMed",2024-01-29
"Himi, E., Taketa, S.","Barley Ant17, encoding flavanone 3-hydroxylase (F3H), is a promising target locus  for attaining anthocyanin/proanthocyanidin-free plants without pleiotropic  reduction of grain dormancy.","Genome","1","58","43-53","10.1139/gen-2014-0189 [doi]","10.1139/gen-2014-0189","Journal Article","2015","Jan","PubMed",2024-01-29
"Tsukahara, K., Sawada, H., Kohno, Y., Matsuura, T., Mori, I.C., Terao, T., Ioki, M., Tamaoki, M.","Ozone-Induced Rice Grain Yield Loss Is Triggered via a Change in Panicle  Morphology That Is Controlled by ABERRANT PANICLE ORGANIZATION 1 Gene.","PloS one","4","10","e0123308","10.1371/journal.pone.0123308 [doi]","10.1371/journal.pone.0123308","Journal Article","2015","","PubMed",2024-01-29
"Chen, Y., Moore, K.L., Miller, A.J., McGrath, S.P., Ma, J.F., Zhao, F.","The role of nodes in arsenic storage and distribution in rice.","Journal of experimental botany","13","66","3717-24","10.1093/jxb/erv164 [doi]","10.1093/jxb/erv164","Journal Article","2015","Jul","PubMed",2024-01-29
"Kato, Y., Ozawa, S., Takahashi, Y., Sakamoto, W.","D1 fragmentation in photosystem II repair caused by photo-damage of a two-step  model.","Photosynthesis research","2-3","126","409-16","10.1007/s11120-015-0144-7 [doi]","10.1007/s11120-015-0144-7","Journal Article","2015","Dec","PubMed",2024-01-29
"Meldau, S., Woldemariam, M.G., Fatangare, A., Svatos, A., Galis, I.","Using 2-deoxy-2-[18F]fluoro-D-glucose ([18F]FDG) to study carbon allocation in  plants after herbivore attack.","BMC research notes",NA,"8","45","10.1186/s13104-015-0989-z [doi]","10.1186/s13104-015-0989-z","Journal Article","2015","Feb 18","PubMed",2024-01-29
"Tani, A., Ogura, Y., Hayashi, T., Kimbara, K.","Complete Genome Sequence of Methylobacterium aquaticum Strain 22A, Isolated from  Racomitrium japonicum Moss.","Genome announcements","2","3",NA,"10.1128/genomeA.00266-15 [doi]","10.1128/genomeA.00266-15","Journal Article","2015","Apr 9","PubMed",2024-01-29
"Ashikari, M., Ma, J.F.","Exploring the power of plants to overcome environmental stresses.","Rice (New York, N.Y.)",NA,"8","10","10.1186/s12284-014-0037-y [doi]","10.1186/s12284-014-0037-y","Journal Article","2015","","PubMed",2024-01-29
"Ye, W., Adachi, Y., Munemasa, S., Nakamura, Y., Mori, I.C., Murata, Y.","Open Stomata 1 Kinase is Essential for Yeast Elicitor-Induced Stomatal Closure in  Arabidopsis.","Plant & cell physiology","6","56","1239-48","10.1093/pcp/pcv051 [doi]","10.1093/pcp/pcv051","Journal Article","2015","Jun","PubMed",2024-01-29
"Eusebio-Cope, A., Suzuki, N.","Mycoreovirus genome rearrangements associated with RNA silencing deficiency.","Nucleic acids research","7","43","3802-13","10.1093/nar/gkv239 [doi]","10.1093/nar/gkv239","Journal Article","2015","Apr 20","PubMed",2024-01-29
"Lu, Y., Sasaki, Y., Li, X., Mori, I.C., Matsuura, T., Hirayama, T., Sato, T., Yamaguchi, J.","ABI1 regulates carbon/nitrogen-nutrient signal transduction independent of ABA  biosynthesis and canonical ABA signalling pathways in Arabidopsis.","Journal of experimental botany","9","66","2763-71","10.1093/jxb/erv086 [doi]","10.1093/jxb/erv086","Journal Article","2015","May","PubMed",2024-01-29
"Ikeda, H., Yoneta, Y., Higashi, H., Eidesen, P.B., Barkalov, V., Yakubov, V., Brochmann, C., Setoguchi, H.","Persistent history of the bird-dispersed arctic-alpine plant Vaccinium  vitis-idaea L. (Ericaceae) in Japan.","Journal of plant research","3","128","437-44","10.1007/s10265-015-0709-8 [doi]","10.1007/s10265-015-0709-8","Journal Article","2015","May","PubMed",2024-01-29
"Ghabrial, S.A., Caston, J.R., Jiang, D., Nibert, M.L., Suzuki, N.","50-plus years of fungal viruses.","Virology",NA,"479-480","356-68","S0042-6822(15)00080-X [pii]","10.1016/j.virol.2015.02.034","Journal Article","2015","May","PubMed",2024-01-29
"Koua, F.H.M., Kimbara, K., Tani, A.","Bacterial-biota dynamics of eight bryophyte species from different ecosystems.","Saudi journal of biological sciences","2","22","204-10","10.1016/j.sjbs.2014.07.009 [doi]","10.1016/j.sjbs.2014.07.009","Journal Article","2015","Mar","PubMed",2024-01-29
"Zhang, L., Sakamoto, W.","Possible function of VIPP1 in maintaining chloroplast membranes.","Biochimica et biophysica acta","9","1847","831-7","S0005-2728(15)00038-9 [pii]","10.1016/j.bbabio.2015.02.013","Journal Article","2015","Sep","PubMed",2024-01-29
"Chen, J., Wang, Y., Wang, F., Yang, J., Gao, M., Li, C., Liu, Y., Liu, Y., Yamaji, N., Ma, J.F., Paz-Ares, J., Nussaume, L., Zhang, S., Yi, K., Wu, Z., Wu, P.","The rice CK2 kinase regulates trafficking of phosphate transporters in response  to phosphate levels.","The Plant cell","3","27","711-23","10.1105/tpc.114.135335 [doi]","10.1105/tpc.114.135335","Journal Article","2015","Mar","PubMed",2024-01-29
"Matsunaga, W., Ohama, N., Tanabe, N., Masuta, Y., Masuda, S., Mitani, N., Yamaguchi-Shinozaki, K., Ma, J.F., Kato, A., Ito, H.","A small RNA mediated regulation of a stress-activated retrotransposon and the  tissue specific transposition during the reproductive period in Arabidopsis.","Frontiers in plant science",NA,"6","48","10.3389/fpls.2015.00048 [doi]","10.3389/fpls.2015.00048","Journal Article","2015","","PubMed",2024-01-29
"Khokon, M.A.R., Salam, M.A., Jammes, F., Ye, W., Hossain, M.A., Uraji, M., Nakamura, Y., Mori, I.C., Kwak, J.M., Murata, Y.","Two guard cell mitogen-activated protein kinases, MPK9 and MPK12, function in  methyl jasmonate-induced stomatal closure in Arabidopsis thaliana.","Plant biology (Stuttgart, Germany)","5","17","946-52","10.1111/plb.12321 [doi]","10.1111/plb.12321","Journal Article","2015","Sep","PubMed",2024-01-29
"Sakurai, G., Satake, A., Yamaji, N., Mitani-Ueno, N., Yokozawa, M., Feugier, F.G., Ma, J.F.","In silico simulation modeling reveals the importance of the Casparian strip for  efficient silicon uptake in rice roots.","Plant & cell physiology","4","56","631-9","10.1093/pcp/pcv017 [doi]","10.1093/pcp/pcv017","Journal Article","2015","Apr","PubMed",2024-01-29
"Kamau, P.K., Sano, S., Takami, T., Matsushima, R., Maekawa, M., Sakamoto, W.","A Mutation in GIANT CHLOROPLAST Encoding a PARC6 Homolog Affects Spikelet  Fertility in Rice.","Plant & cell physiology","5","56","977-91","10.1093/pcp/pcv024 [doi]","10.1093/pcp/pcv024","Journal Article","2015","May","PubMed",2024-01-29
"Kaneko, T., Horie, T., Nakahara, Y., Tsuji, N., Shibasaka, M., Katsuhara, M.","Dynamic regulation of the root hydraulic conductivity of barley plants in  response to salinity/osmotic stress.","Plant & cell physiology","5","56","875-82","10.1093/pcp/pcv013 [doi]","10.1093/pcp/pcv013","Journal Article","2015","May","PubMed",2024-01-29
"Belobrajdic, D.P., Jobling, S.A., Morell, M.K., Taketa, S., Bird, A.R.","Wholegrain barley beta-glucan fermentation does not improve glucose tolerance in  rats fed a high-fat diet.","Nutrition research (New York, N.Y.)","2","35","162-8","S0271-5317(14)00285-1 [pii]","10.1016/j.nutres.2014.12.006","Journal Article","2015","Feb","PubMed",2024-01-29
"Ooi, L., Heng, L.Y., Mori, I.C.","A high-throughput oxidative stress biosensor based on Escherichia coli roGFP2  cells immobilized in a k-carrageenan matrix.","Sensors (Basel, Switzerland)","2","15","2354-68","10.3390/s150202354 [doi]","10.3390/s150202354","Journal Article","2015","Jan 22","PubMed",2024-01-29
"Andika, I.B., Maruyama, K., Sun, L., Kondo, H., Tamada, T., Suzuki, N.","Differential contributions of plant Dicer-like proteins to antiviral defences  against potato virus X in leaves and roots.","The Plant journal : for cell and molecular biology","5","81","781-93","10.1111/tpj.12770 [doi]","10.1111/tpj.12770","Journal Article","2015","Mar","PubMed",2024-01-29
"Himi, E., Taketa, S.","Isolation of candidate genes for the barley Ant1 and wheat Rc genes controlling  anthocyanin pigmentation in different vegetative tissues.","Molecular genetics and genomics : MGG","4","290","1287-98","10.1007/s00438-015-0991-0 [doi]","10.1007/s00438-015-0991-0","Journal Article","2015","Aug","PubMed",2024-01-29
"Deng, W., Casao, M.C., Wang, P., Sato, K., Hayes, P.M., Finnegan, E.J., Trevaskis, B.","Direct links between the vernalization response and other key traits of cereal  crops.","Nature communications",NA,"6","5882","10.1038/ncomms6882 [doi]","10.1038/ncomms6882","Journal Article","2015","Jan 6","PubMed",2024-01-29
"Miyaji, T., Kuromori, T., Takeuchi, Y., Yamaji, N., Yokosho, K., Shimazawa, A., Sugimoto, E., Omote, H., Ma, J.F., Shinozaki, K., Moriyama, Y.","AtPHT4;4 is a chloroplast-localized ascorbate transporter in Arabidopsis.","Nature communications",NA,"6","5928","10.1038/ncomms6928 [doi]","10.1038/ncomms6928","Journal Article","2015","Jan 5","PubMed",2024-01-29
"Ueno, D., Sasaki, A., Yamaji, N., Miyaji, T., Fujii, Y., Takemoto, Y., Moriyama, S., Che, J., Moriyama, Y., Iwasaki, K., Ma, J.F.","A polarly localized transporter for efficient manganese uptake in rice.","Nature plants",NA,"1","15170","10.1038/nplants.2015.170 [doi]","10.1038/nplants.2015.170","Journal Article","2015","Nov 9","PubMed",2024-01-29
"Oikawa, K., Matsunaga, S., Mano, S., Kondo, M., Yamada, K., Hayashi, M., Kagawa, T., Kadota, A., Sakamoto, W., Higashi, S., Watanabe, M., Mitsui, T., Shigemasa, A., Iino, T., Hosokawa, Y., Nishimura, M.","Physical interaction between peroxisomes and chloroplasts elucidated by in situ  laser analysis.","Nature plants","4","1","15035","10.1038/nplants.2015.35 [doi]","10.1038/nplants.2015.35","Journal Article","2015","Mar 30","PubMed",2024-01-29
"Eusebio-Cope, A., Sun, L., Tanaka, T., Chiba, S., Kasahara, S., Suzuki, N.","The chestnut blight fungus for studies on virus/host and virus/virus  interactions: from a natural to a model host.","Virology",NA,"477","164-175","S0042-6822(14)00455-3 [pii]","10.1016/j.virol.2014.09.024","Journal Article","2015","Mar","PubMed",2024-01-29
"Wang, W., Zhao, X.Q., Chen, R.F., Dong, X.Y., Lan, P., Ma, J.F., Shen, R.F.","Altered cell wall properties are responsible for ammonium-reduced aluminium  accumulation in rice roots.","Plant, cell & environment","7","38","1382-90","10.1111/pce.12490 [doi]","10.1111/pce.12490","Journal Article","2015","Jul","PubMed",2024-01-29
"Iimure, T., Kihara, M., Sato, K., Ogushi, K.","Purification of barley dimeric alpha-amylase inhibitor-1 (BDAI-1) and avenin-like  protein-a (ALP) from beer and their impact on beer foam stability.","Food chemistry",NA,"172","257-64","S0308-8146(14)01378-8 [pii]","10.1016/j.foodchem.2014.09.012","Journal Article","2015","Apr 1","PubMed",2024-01-29
"Tanaka, S., Kihara, M., Sugimoto, M.","Structure and molecular characterization of barley nudix hydrolase genes.","Bioscience, biotechnology, and biochemistry","3","79","394-401","10.1080/09168451.2014.978259 [doi]","10.1080/09168451.2014.978259","Journal Article","2015","","PubMed",2024-01-29
"Kondo, H., Chiba, S., Suzuki, N.","Detection and analysis of non-retroviral RNA virus-like elements in plant,  fungal, and insect genomes.","Methods in molecular biology (Clifton, N.J.)",NA,"1236","73-88","10.1007/978-1-4939-1743-3_7 [doi]","10.1007/978-1-4939-1743-3_7","Journal Article","2015","","PubMed",2024-01-29
"Ahmed, N., Tetlow, I.J., Nawaz, S., Iqbal, A., Mubin, M., Nawaz ul Rehman, M.S., Butt, A., Lightfoot, D.A., Maekawa, M.","Effect of high temperature on grain filling period, yield, amylose content and  activity of starch biosynthesis enzymes in endosperm of basmati rice.","Journal of the science of food and agriculture","11","95","2237-43","10.1002/jsfa.6941 [doi]","10.1002/jsfa.6941","Journal Article","2015","Aug 30","PubMed",2024-01-29
"Wang, H., Chen, R.F., Iwashita, T., Shen, R.F., Ma, J.F.","Physiological characterization of aluminum tolerance and accumulation in tartary  and wild buckwheat.","The New phytologist","1","205","273-9","10.1111/nph.13011 [doi]","10.1111/nph.13011","Journal Article","2015","Jan","PubMed",2024-01-29
"Mori, I.C., Arias-Barreiro, C.R., Koutsaftis, A., Ogo, A., Kawano, T., Yoshizuka, K., Inayat-Hussain, S.H., Aoyama, I.","Toxicity of tetramethylammonium hydroxide to aquatic organisms and its  synergistic action with potassium iodide.","Chemosphere",NA,"120","299-304","S0045-6535(14)00861-3 [pii]","10.1016/j.chemosphere.2014.07.011","Journal Article","2015","Feb","PubMed",2024-01-29
"Sobhy, I.S., Erb, M., Turlings, T.C.J.","Plant strengtheners enhance parasitoid attraction to herbivore-damaged cotton via  qualitative and quantitative changes in induced volatiles.","Pest management science","5","71","686-93","10.1002/ps.3821 [doi]","10.1002/ps.3821","Journal Article","2015","May","PubMed",2024-01-29
"Turuspekov, Y., Abugalieva, S., Ermekbayev, K., Sato, K.","Genetic characterization of wild barley populations (Hordeum vulgare ssp.  spontaneum) from Kazakhstan based on genome wide SNP analysis.","Breeding science","4","64","399-403","10.1270/jsbbs.64.399 [doi]","10.1270/jsbbs.64.399","Journal Article","2014","Dec","PubMed",2024-01-29
"Sbei, H., Sato, K., Shehzad, T., Harrabi, M., Okuno, K.","Detection of QTLs for salt tolerance in Asian barley (Hordeum vulgare L.) by  association analysis with SNP markers.","Breeding science","4","64","378-88","10.1270/jsbbs.64.378 [doi]","10.1270/jsbbs.64.378","Journal Article","2014","Dec","PubMed",2024-01-29
"Hirayama, T.","A unique system for regulating mitochondrial mRNA poly(A) status and stability in  plants.","Plant signaling & behavior","10","9","e973809","10.4161/15592324.2014.973809 [doi]","10.4161/15592324.2014.973809","Journal Article","2014","","PubMed",2024-01-29
"Song, W., Yamaki, T., Yamaji, N., Ko, D., Jung, K., Fujii-Kashino, M., An, G., Martinoia, E., Lee, Y., Ma, J.F.","A rice ABC transporter, OsABCC1, reduces arsenic accumulation in the grain.","Proceedings of the National Academy of Sciences of the United States of America","44","111","15699-704","10.1073/pnas.1414968111 [doi]","10.1073/pnas.1414968111","Journal Article","2014","Nov 4","PubMed",2024-01-29
"Sasaki, T., Tsuchiya, Y., Ariyoshi, M., Ryan, P.R., Furuichi, T., Yamamoto, Y.","A domain-based approach for analyzing the function of aluminum-activated malate  transporters from wheat (Triticum aestivum) and Arabidopsis thaliana in Xenopus  oocytes.","Plant & cell physiology","12","55","2126-38","10.1093/pcp/pcu143 [doi]","10.1093/pcp/pcu143","Journal Article","2014","Dec","PubMed",2024-01-29
"Yokosho, K., Yamaji, N., Ma, J.F.","Global transcriptome analysis of Al-induced genes in an Al-accumulating species,  common buckwheat (Fagopyrum esculentum Moench).","Plant & cell physiology","12","55","2077-91","10.1093/pcp/pcu135 [doi]","10.1093/pcp/pcu135","Journal Article","2014","Dec","PubMed",2024-01-29
"Mitsunami, T., Nishihara, M., Galis, I., Alamgir, K.M., Hojo, Y., Fujita, K., Sasaki, N., Nemoto, K., Sawasaki, T., Arimura, G.","Overexpression of the PAP1 transcription factor reveals a complex regulation of  flavonoid and phenylpropanoid metabolism in Nicotiana tabacum plants attacked by  Spodoptera litura.","PloS one","9","9","e108849","10.1371/journal.pone.0108849 [doi]","10.1371/journal.pone.0108849","Journal Article","2014","","PubMed",2024-01-29
"Rikiishi, K., Maekawa, M.","Seed maturation regulators are related to the control of seed dormancy in wheat  (Triticum aestivum L.).","PloS one","9","9","e107618","10.1371/journal.pone.0107618 [doi]","10.1371/journal.pone.0107618","Journal Article","2014","","PubMed",2024-01-29
"Katsuhara, M., Tsuji, N., Shibasaka, M., Panda, S.K.","Osmotic stress decreases PIP aquaporin transcripts in barley roots but H2O2 is  not involved in this process.","Journal of plant research","6","127","787-92","10.1007/s10265-014-0662-y [doi]","10.1007/s10265-014-0662-y","Journal Article","2014","Nov","PubMed",2024-01-29
"Sasaki, A., Yamaji, N., Ma, J.F.","Overexpression of OsHMA3 enhances Cd tolerance and expression of Zn transporter  genes in rice.","Journal of experimental botany","20","65","6013-21","10.1093/jxb/eru340 [doi]","10.1093/jxb/eru340","Journal Article","2014","Nov","PubMed",2024-01-29
"Christeller, J.T., Galis, I.","alpha-linolenic acid concentration and not wounding per se is the key regulator of  octadecanoid (oxylipin) pathway activity in rice (Oryza sativa L.) leaves.","Plant physiology and biochemistry : PPB",NA,"83","117-25","S0981-9428(14)00233-2 [pii]","10.1016/j.plaphy.2014.07.013","Journal Article","2014","Oct","PubMed",2024-01-29
"Zhang, R., Liu, S., Chiba, S., Kondo, H., Kanematsu, S., Suzuki, N.","A novel single-stranded RNA virus isolated from a phytopathogenic filamentous  fungus, Rosellinia necatrix, with similarity to hypo-like viruses.","Frontiers in microbiology",NA,"5","360","10.3389/fmicb.2014.00360 [doi]","10.3389/fmicb.2014.00360","Journal Article","2014","","PubMed",2024-01-29
"Asai, H., Abe, N., Matsushima, R., Crofts, N., Oitome, N.F., Nakamura, Y., Fujita, N.","Deficiencies in both starch synthase IIIa and branching enzyme IIb lead to a  significant increase in amylose in SSIIa-inactive japonica rice seeds.","Journal of experimental botany","18","65","5497-507","10.1093/jxb/eru310 [doi]","10.1093/jxb/eru310","Journal Article","2014","Oct","PubMed",2024-01-29
"Bao, W.X., Narai, Y., Nakano, A., Kaneda, T., Murai, T., Sonoda, S.","Spinosad resistance of melon thrips, Thrips palmi, is conferred by G275E mutation  in alpha6 subunit of nicotinic acetylcholine receptor and cytochrome P450  detoxification.","Pesticide biochemistry and physiology",NA,"112","51-5","S0048-3575(14)00069-8 [pii]","10.1016/j.pestbp.2014.04.013","Journal Article","2014","Jun","PubMed",2024-01-29
"Yamaji, N., Ma, J.F.","The node, a hub for mineral nutrient distribution in graminaceous plants.","Trends in plant science","9","19","556-63","S1360-1385(14)00142-3 [pii]","10.1016/j.tplants.2014.05.007","Journal Article","2014","Sep","PubMed",2024-01-29
"Iehisa, J.C.M., Matsuura, T., Mori, I.C., Yokota, H., Kobayashi, F., Takumi, S.","Identification of quantitative trait loci for abscisic acid responsiveness in the  D-genome of hexaploid wheat.","Journal of plant physiology","10","171","830-41","S0176-1617(14)00039-X [pii]","10.1016/j.jplph.2014.02.003","Journal Article","2014","Jun 15","PubMed",2024-01-29
"Borg, M., Rutley, N., Kagale, S., Hamamura, Y., Gherghinoiu, M., Kumar, S., Sari, U., Esparza-Franco, M.A., Sakamoto, W., Rozwadowski, K., Higashiyama, T., Twell, D.","An EAR-Dependent Regulatory Module Promotes Male Germ Cell Division and Sperm  Fertility in Arabidopsis.","The Plant cell","5","26","2098-2113",NA,"10.1105/tpc.114.124743","Journal Article","2014","May","PubMed",2024-01-29
"Kato, Y., Sakamoto, W.","Phosphorylation of photosystem II core proteins prevents undesirable cleavage of  D1 and contributes to the fine-tuned repair of photosystem II.","The Plant journal : for cell and molecular biology","2","79","312-21","10.1111/tpj.12562 [doi]","10.1111/tpj.12562","Journal Article","2014","Jul","PubMed",2024-01-29
"Kiba, A., Galis, I., Hojo, Y., Ohnishi, K., Yoshioka, H., Hikichi, Y.","SEC14 phospholipid transfer protein is involved in lipid signaling-mediated plant  immune responses in Nicotiana benthamiana.","PloS one","5","9","e98150","10.1371/journal.pone.0098150 [doi]","10.1371/journal.pone.0098150","Journal Article","2014","","PubMed",2024-01-29
"Xia, J., Yamaji, N., Che, J., Shen, R.F., Ma, J.F.","Differential expression of Nrat1 is responsible for Al-tolerance QTL on  chromosome 2 in rice.","Journal of experimental botany","15","65","4297-304","10.1093/jxb/eru201 [doi]","10.1093/jxb/eru201","Comparative Study","2014","Aug","PubMed",2024-01-29
"Murata, M.","Minichromosomes and artificial chromosomes in Arabidopsis.","Chromosome research : an international journal on the molecular, supramolecular  and evolutionary aspects of chromosome biology","2","22","167-78","10.1007/s10577-014-9421-0 [doi]","10.1007/s10577-014-9421-0","Journal Article","2014","Jun","PubMed",2024-01-29
"Sugimoto, K., Matsui, K., Iijima, Y., Akakabe, Y., Muramoto, S., Ozawa, R., Uefune, M., Sasaki, R., Alamgir, K.M., Akitake, S., Nobuke, T., Galis, I., Aoki, K., Shibata, D., Takabayashi, J.","Intake and transformation to a glycoside of (Z)-3-hexenol from infested neighbors  reveals a mode of plant odor reception and defense.","Proceedings of the National Academy of Sciences of the United States of America","19","111","7144-9","10.1073/pnas.1320660111 [doi]","10.1073/pnas.1320660111","Journal Article","2014","May 13","PubMed",2024-01-29
"Shinya, T., Yamaguchi, K., Desaki, Y., Yamada, K., Narisawa, T., Kobayashi, Y., Maeda, K., Suzuki, M., Tanimoto, T., Takeda, J., Nakashima, M., Funama, R., Narusaka, M., Narusaka, Y., Kaku, H., Kawasaki, T., Shibuya, N.","Selective regulation of the chitin-induced defense response by the Arabidopsis  receptor-like cytoplasmic kinase PBL27.","The Plant journal : for cell and molecular biology","1","79","56-66","10.1111/tpj.12535 [doi]","10.1111/tpj.12535","Journal Article","2014","Jul","PubMed",2024-01-29
"Shibata, M., Oikawa, K., Yoshimoto, K., Goto-Yamada, S., Mano, S., Yamada, K., Kondo, M., Hayashi, M., Sakamoto, W., Ohsumi, Y., Nishimura, M.","Plant autophagy is responsible for peroxisomal transition and plays an important  role in the maintenance of peroxisomal quality.","Autophagy","5","10","936-7","10.4161/auto.28529 [doi]","10.4161/auto.28529","Journal Article","2014","May","PubMed",2024-01-29
"Xia, J., Yamaji, N., Ma, J.F.","An appropriate concentration of arginine is required for normal root growth in  rice.","Plant signaling & behavior","4","9","e28717","10.4161/psb.28717 [doi]","10.4161/psb.28717","Journal Article","2014","","PubMed",2024-01-29
"Sakamoto, W., Takami, T.","Nucleases in higher plants and their possible involvement in DNA degradation  during leaf senescence.","Journal of experimental botany","14","65","3835-43","10.1093/jxb/eru091 [doi]","10.1093/jxb/eru091","Journal Article","2014","Jul","PubMed",2024-01-29
"Sonoda, S., Shi, X., Song, D., Liang, P., Gao, X., Zhang, Y., Li, J., Liu, Y., Li, M., Matsumura, M., Sanada-Morimura, S., Minakuchi, C., Tanaka, T., Miyata, T.","Duplication of acetylcholinesterase gene in diamondback moth strains with  different sensitivities to acephate.","Insect biochemistry and molecular biology",NA,"48","83-90","S0965-1748(14)00034-4 [pii]","10.1016/j.ibmb.2014.02.008","Journal Article","2014","May","PubMed",2024-01-29
"Kondo, H., Maruyama, K., Chiba, S., Andika, I.B., Suzuki, N.","Transcriptional mapping of the messenger and leader RNAs of orchid fleck virus, a  bisegmented negative-strand RNA virus.","Virology",NA,"452-453","166-74","S0042-6822(14)00010-5 [pii]","10.1016/j.virol.2014.01.007","Journal Article","2014","Mar","PubMed",2024-01-29
"Xia, J., Yamaji, N., Che, J., Shen, R.F., Ma, J.F.","Normal root elongation requires arginine produced by argininosuccinate lyase in  rice.","The Plant journal : for cell and molecular biology","2","78","215-26","10.1111/tpj.12476 [doi]","10.1111/tpj.12476","Journal Article","2014","Apr","PubMed",2024-01-29
"Ueki, S., Citovsky, V.","Plasmodesmata-associated proteins: can we see the whole elephant?","Plant signaling & behavior","2","9","e27899","27899 [pii]","10.4161/psb.27899","Journal Article","2014","","PubMed",2024-01-29
"Ishikawa, N., Ikeda, H., Yi, T., Takabe-Ito, E., Okada, H., Tsukaya, H.","Lineage diversification and hybridization in the Cayratia japonica-Cayratia  tenuifolia species complex.","Molecular phylogenetics and evolution",NA,"75","227-38","S1055-7903(14)00046-3 [pii]","10.1016/j.ympev.2014.01.027","Journal Article","2014","Jun","PubMed",2024-01-29
"Kanematsu, S., Shimizu, T., Salaipeth, L., Yaegashi, H., Sasaki, A., Ito, T., Suzuki, N.","Genome rearrangement of a mycovirus Rosellinia necatrix megabirnavirus 1  affecting its ability to attenuate virulence of the host fungus.","Virology",NA,"450-451","308-15","S0042-6822(13)00665-X [pii]","10.1016/j.virol.2013.12.002","Journal Article","2014","Feb","PubMed",2024-01-29
"Bao, W.X., Kataoka, Y., Kohara, Y., Sonoda, S.","Genomic analyses of sodium channel alpha-subunit genes from strains of melon thrips,  Thrips palmi, with different sensitivities to cypermethrin.","Pesticide biochemistry and physiology",NA,"108","80-5","S0048-3575(14)00006-6 [pii]","10.1016/j.pestbp.2013.12.009","Comparative Study","2014","Jan","PubMed",2024-01-29
"Tek, A.L., Kashihara, K., Murata, M., Nagaki, K.","Identification of the centromere-specific histone H3 variant in Lotus japonicus.","Gene","1","538","8-11","S0378-1119(14)00055-9 [pii]","10.1016/j.gene.2014.01.034","Journal Article","2014","Mar 15","PubMed",2024-01-29
"Mori, I.C., Rhee, J., Shibasaka, M., Sasano, S., Kaneko, T., Horie, T., Katsuhara, M.","CO2 transport by PIP2 aquaporins of barley.","Plant & cell physiology","2","55","251-7","10.1093/pcp/pcu003 [doi]","10.1093/pcp/pcu003","Journal Article","2014","Feb","PubMed",2024-01-29
"Sugimoto, M., Oono, Y., Gusev, O., Matsumoto, T., Yazawa, T., Levinskikh, M.A., Sychev, V.N., Bingham, G.E., Wheeler, R., Hummerick, M.","Genome-wide expression analysis of reactive oxygen species gene network in Mizuna  plants grown in long-term spaceflight.","BMC plant biology",NA,"14","4","10.1186/1471-2229-14-4 [doi]","10.1186/1471-2229-14-4","Journal Article","2014","Jan 6","PubMed",2024-01-29
"Chiba, S., Suzuki, N.","[Diverse double-stranded RNA viruses infecting fungi].","Uirusu","2","64","225-38","10.2222/jsv.64.225 [doi]","10.2222/jsv.64.225","English Abstract","2014","","PubMed",2024-01-29
"Suzuki, N.","[Cryphonectria parasitica as a host of fungal viruses: a tool useful to unravel  the mycovirus world].","Uirusu","1","64","11-24","10.2222/jsv.64.11 [doi]","10.2222/jsv.64.11","English Abstract","2014","","PubMed",2024-01-29
